zip,state,CO2
04354,ME,728
04355,ME,728
04357,ME,728
04358,ME,728
04359,ME,728
04360,ME,728
04363,ME,728
04364,ME,728
04401,ME,728
04402,ME,728
04406,ME,728
04408,ME,728
04410,ME,728
04411,ME,728
04412,ME,728
04413,ME,728
04414,ME,728
04415,ME,728
04416,ME,728
04417,ME,728
04418,ME,728
04419,ME,728
04420,ME,728
04421,ME,728
04422,ME,728
04424,ME,728
04426,ME,728
04427,ME,728
04428,ME,728
04429,ME,728
04430,ME,728
04431,ME,728
04434,ME,728
04435,ME,728
04438,ME,728
04441,ME,728
04442,ME,728
04443,ME,728
04444,ME,728
04448,ME,728
04449,ME,728
04450,ME,728
04451,ME,728
04453,ME,728
04454,ME,728
04455,ME,728
04456,ME,728
04457,ME,728
04459,ME,728
04460,ME,728
04461,ME,728
04462,ME,728
04463,ME,728
04464,ME,728
04468,ME,728
04469,ME,728
04471,ME,728
04472,ME,728
04473,ME,728
04474,ME,728
04475,ME,728
04476,ME,728
04478,ME,728
04479,ME,728
04481,ME,728
04485,ME,728
04487,ME,728
04488,ME,728
04489,ME,728
04490,ME,728
04491,ME,728
04492,ME,728
04493,ME,728
04495,ME,728
04496,ME,728
04497,ME,728
04530,ME,728
04535,ME,728
04537,ME,728
04538,ME,728
04539,ME,728
04541,ME,728
04543,ME,728
04544,ME,728
04547,ME,728
04548,ME,728
04549,ME,728
04551,ME,728
04553,ME,728
04554,ME,728
04555,ME,728
04556,ME,728
04558,ME,728
04562,ME,728
04563,ME,728
04564,ME,728
04565,ME,728
04568,ME,728
04571,ME,728
04572,ME,728
04573,ME,728
04574,ME,728
04575,ME,728
04576,ME,728
04578,ME,728
04579,ME,728
04605,ME,728
04606,ME,728
04607,ME,728
04609,ME,728
04611,ME,728
04612,ME,728
04613,ME,728
04614,ME,728
04616,ME,728
04617,ME,728
04619,ME,728
04622,ME,728
04623,ME,728
04624,ME,728
04625,ME,728
04626,ME,728
04627,ME,728
04628,ME,728
04629,ME,728
04630,ME,728
04631,ME,728
04634,ME,728
04635,ME,728
04637,ME,728
04640,ME,728
04642,ME,728
04643,ME,728
04644,ME,728
04646,ME,728
04648,ME,728
04649,ME,728
04652,ME,728
04653,ME,728
04654,ME,728
04655,ME,728
04657,ME,728
04658,ME,728
04660,ME,728
04662,ME,728
04664,ME,728
04666,ME,728
04667,ME,728
04668,ME,728
04669,ME,728
04671,ME,728
04672,ME,728
04673,ME,728
04674,ME,728
04675,ME,728
04676,ME,728
04677,ME,728
04679,ME,728
04680,ME,728
04681,ME,728
04683,ME,728
04684,ME,728
04685,ME,728
04686,ME,728
04691,ME,728
04693,ME,728
04694,ME,728
04730,ME,728
04732,ME,728
04733,ME,728
04734,ME,728
04735,ME,728
04736,ME,728
04738,ME,728
04739,ME,728
04740,ME,728
04742,ME,728
04743,ME,728
04744,ME,728
04745,ME,728
04746,ME,728
04747,ME,728
04750,ME,728
04751,ME,728
04756,ME,728
04757,ME,728
04758,ME,728
04760,ME,728
04761,ME,728
04762,ME,728
04763,ME,728
04764,ME,728
04765,ME,728
04766,ME,728
04768,ME,728
04769,ME,728
04772,ME,728
04773,ME,728
04774,ME,728
04775,ME,728
04776,ME,728
04777,ME,728
04779,ME,728
04780,ME,728
04781,ME,728
04783,ME,728
04785,ME,728
04786,ME,728
04787,ME,728
04841,ME,728
04843,ME,728
04846,ME,728
04847,ME,728
04848,ME,728
04849,ME,728
04850,ME,728
04851,ME,728
04853,ME,728
04854,ME,728
04855,ME,728
04856,ME,728
04858,ME,728
04859,ME,728
04860,ME,728
04861,ME,728
04862,ME,728
04863,ME,728
04864,ME,728
04865,ME,728
04901,ME,728
04903,ME,728
04910,ME,728
04911,ME,728
04912,ME,728
04915,ME,728
04917,ME,728
04918,ME,728
04920,ME,728
04921,ME,728
04922,ME,728
04923,ME,728
04924,ME,728
04925,ME,728
04926,ME,728
04927,ME,728
04928,ME,728
04929,ME,728
04930,ME,728
04932,ME,728
04933,ME,728
04935,ME,728
04936,ME,728
04937,ME,728
04938,ME,728
04939,ME,728
04940,ME,728
04941,ME,728
04942,ME,728
04943,ME,728
04944,ME,728
04945,ME,728
04947,ME,728
04949,ME,728
04950,ME,728
04951,ME,728
04952,ME,728
04953,ME,728
04954,ME,728
04955,ME,728
04956,ME,728
04957,ME,728
04958,ME,728
04961,ME,728
04962,ME,728
04963,ME,728
04964,ME,728
04965,ME,728
04966,ME,728
04967,ME,728
04969,ME,728
04970,ME,728
04971,ME,728
04972,ME,728
04973,ME,728
04974,ME,728
04975,ME,728
04976,ME,728
04978,ME,728
04979,ME,728
04981,ME,728
04982,ME,728
04983,ME,728
04984,ME,728
04985,ME,728
04986,ME,728
04987,ME,728
04988,ME,728
04989,ME,728
04992,ME,728
05001,VT,728
05009,VT,728
05030,VT,728
05031,VT,728
05032,VT,728
05033,VT,728
05034,VT,728
05035,VT,728
05036,VT,728
05037,VT,728
05038,VT,728
05039,VT,728
05040,VT,728
05041,VT,728
05042,VT,728
05043,VT,728
05045,VT,728
05046,VT,728
05047,VT,728
05048,VT,728
05049,VT,728
05050,VT,728
05051,VT,728
05052,VT,728
05053,VT,728
05054,VT,728
05055,VT,728
05056,VT,728
05058,VT,728
05059,VT,728
05060,VT,728
05061,VT,728
05062,VT,728
05065,VT,728
05067,VT,728
05068,VT,728
05069,VT,728
05070,VT,728
05071,VT,728
05072,VT,728
05073,VT,728
05074,VT,728
05075,VT,728
05076,VT,728
05077,VT,728
05079,VT,728
05081,VT,728
05083,VT,728
05084,VT,728
05085,VT,728
05086,VT,728
05088,VT,728
05089,VT,728
05091,VT,728
05101,VT,728
05141,VT,728
05142,VT,728
05143,VT,728
05144,VT,728
05146,VT,728
05148,VT,728
05149,VT,728
05150,VT,728
05151,VT,728
05152,VT,728
05153,VT,728
05154,VT,728
05155,VT,728
05156,VT,728
05158,VT,728
05159,VT,728
05161,VT,728
05201,VT,728
05250,VT,728
05251,VT,728
05252,VT,728
05253,VT,728
05254,VT,728
05255,VT,728
05257,VT,728
05260,VT,728
05261,VT,728
05262,VT,728
05301,VT,728
05302,VT,728
05303,VT,728
05304,VT,728
05340,VT,728
05341,VT,728
05342,VT,728
05343,VT,728
05344,VT,728
